mgra,on_street_free_spaces,on_street_paid_spaces,on_street_hourly_cost_during_business,on_street_hourly_cost_after_business,off_street_free_spaces,off_street_paid_public_spaces,off_street_paid_private_spaces,off_street_paid_public_hourly_cost_during_business,off_street_paid_public_hourly_cost_after_business,off_street_paid_public_daily_cost,off_street_paid_public_monthly_cost,off_street_paid_private_hourly_cost_during_business,off_street_paid_private_hourly_cost_after_business,off_street_paid_private_daily_cost,off_street_paid_private_monthly_cost,off_street_residential_spaces
8527,12,10,0.0,0.0,0,966,966,,,,,6.0303030305,8.0,18.0,,0
8531,12,0,,,0,0,0,,,,,,,,,0
8534,,,,,,,,,,,,,,,,32
8542,,,,,,,,,,,,,,,,0
8549,8,35,1.5,1.5,0,0,0,,,,,,,,,0
8573,4,0,,,,,,,,,,,,,,1258
8578,83,0,,,700,11,727,5.0,5.0,10.0,,,,10.0,,0
8582,96,0,,,21,661,682,1.75,,,,10.5,10.5,38.75,,0
8584,,,,,,,,,,,,,,,,196
8596,37,117,,,0,28,48,,,,,,,,,148
8603,,,,,,,,,,,,,,,,87
8604,26,0,,,0,0,0,,,,,,,,,256
8651,,,,,,,,,,,,,,,,19
8666,18,29,1.5,1.5,0,0,0,,,,,,,,,330
8670,,,,,,,,,,,,,,,,87
8684,8,0,,,0,0,0,,,,,,,,,133
8705,,,,,259,0,259,3.0,1.5,5.9,93.0,,,,,0
8735,24,0,,,0,50,89,,,,,,,,,619
8742,6,18,2.5,1.25,0,0,0,,,,,,,,,0
8745,164,0,,,0,122,122,,,,,3.14754098360655,3.14754098360655,16.9360655737704,,0
8749,0,12,0.75,0.75,0,120,182,,,,,,,,,0
8769,34,0,0.0,0.0,0,12,34,,,,,,,,,62
8771,0,20,1.25,1.25,0,185,185,,,,,4.0,5.0,16.0,,0
8791,137,0,,,,,,,,,,,,,,109
8794,,,,,,,,,,,,,,,,0
8806,60,0,,,0,0,0,,,,,,,,,40
8838,11,21,1.25,1.25,0,199,300,,,,,5.0,5.0,20.0,,0
8853,51,0,,,0,0,0,,,,,,,,,0
8861,28,8,1.25,0.0,0,35,43,,,,,,,,,164
8863,7,0,,,0,0,0,,,,,,,,,114
8872,76,0,,,642,90,732,1.5,1.5,8.0,,,,,,85
8877,39,0,,,0,62,242,,,,,,,15.95,,0
8893,59,0,,,0,53,64,,,,,,,,,182
8909,4,0,,,,,,,,,,,,,,24
8920,,,,,,,,,,,,,,,,192
8928,9,0,,,,,,,,,,,,,,69
8930,6,0,,,0,96,96,,,,,10.0,10.0,55.0,,0
8932,,,,,,,,,,,,,,,,127
8941,4,0,,,0,0,0,,,,,,,,,0
8975,61,16,1.25,0.0,0,129,203,,,,,,,,,32
8976,1,0,,,,,,,,,,,,,,0
8977,56,0,,,0,0,0,,,,,,,,,0
8988,48,0,,,0,0,0,,,,,,,,,0
8996,0,13,,,0,0,0,,,,,,,,,120
9009,2,21,,,0,15,20,,,,,,,,200.0,72
9012,0,52,,,0,0,4,,,,,,,,,86
9014,45,0,,,30,54,84,3.0,1.5,6.0,,2.0,2.0,20.0,,0
9016,,,,,,,,,,,,,,,,304
9063,9,0,,,,,,,,,,,,,,37
9065,,,,,,,,,,,,,,,,56
9067,1,0,,,0,0,0,,,,,,,,,95
9080,,,,,0,1390,1390,,,,,6.0,6.0,32.0,,0
9095,,,,,,,,,,,,,,,,72
9099,80,0,,,,,,,,,,,,,,264
9114,,,,,,,,,,,,,,,,0
9117,,,,,,,,,,,,,,,,0
9118,10,0,,,,,,,,,,,,,,
9151,,,,,,,,,,,,,,,,0
9276,,,,,,,,,,,,,,,,225
9279,30,0,,,0,296,296,,,,,6.75,6.75,8.25,,0
9280,,,,,,,,,,,,,,,,0
9283,,,,,0,0,0,,,,,,,,,0
9284,,,,,,,,,,,,,,,,0
9305,,,,,0,0,0,,,,,,,,,0
9329,,,,,0,0,0,,,,,,,,,0
9344,36,0,,,0,126,126,,,,,,,,,0
9345,,,,,0,0,0,,,,,,,,,0
9346,36,0,,,0,186,186,,,,,,,,,0
9347,,,,,0,45,45,,,,,,,,,0
9348,,,,,0,50,50,,,,,,,,,0
9349,,,,,0,255,255,,,,,,,,,0
9350,156,0,,,0,0,0,,,,,,,,,0
9351,,,,,0,0,0,,,,,,,,,2
9352,,,,,0,0,0,,,,,,,,,0
9353,,,,,0,0,0,,,,,,,,,0
9359,,,,,,,,,,,,,,,,0
9361,,,,,,,,,,,,,,,,0
9364,,,,,,,,,,,,,,,,0
9365,,,,,,,,,,,,,,,,0
9367,,,,,,,,,,,,,,,,0
9368,,,,,0,0,0,,,,,,,,,0
9372,,,,,,,,,,,,,,,,0
9373,,,,,,,,,,,,,,,,0
9780,,,,,0,0,0,,,,,,,,,548
9781,,,,,0,0,0,,,,,,,,,222
9821,,,,,,,,,,,,,,,,228
9822,,,,,0,0,0,,,,,,,,,180
9823,0,17,,,0,0,0,,,,,,,,,201
9831,0,64,0.25,0.25,0,1400,1956,,,,,,,,,0
10050,,,,,,,,,,,,,,,,68
10075,86,11,1.25,0.0,0,29,80,,,,,,,,,99
10126,,,,,,,,,,,,,,,,145
10127,,,,,,,,,,,,,,,,6
10128,,,,,0,0,42,,,,,,,,,0
10130,40,0,,,0,0,3,,,,,,,,,12
10181,,,,,,,,,,,,,,,,386
10186,,,,,,,,,,,,,,,,140
10208,14,0,0.0,0.0,0,549,549,,,,,10.0,10.0,30.0,,46
10216,32,0,,,0,0,0,,,,,,,,,140
10222,,,,,,,,,,,,,,,,377
10273,,,,,,,,,,,,,,,,0
10338,,,,,,,,,,,,,,,,11
10339,84,0,,,0,0,2,,,,,,,,,8
10371,,,,,,,,,,,,,,,,0
10382,12,0,,,,,,,,,,,,,,411
10385,,,,,0,0,0,,,,,,,,,76
10386,,,,,,,,,,,,,,,,268
10494,,,,,,,,,,,,,,,,165
10495,56,6,1.25,0.0,0,0,0,,,,,,,,,227
10496,,,,,0,0,0,,,,,,,,,124
10497,66,2,1.25,0.0,0,5,39,,,,,,,,,99
10498,,,,,,,,,,,,,,,,496
10541,,,,,,,,,,,,,,,,22
10542,,,,,0,0,0,,,,,,,,,0
10562,,,,,,,,,,,,,,,,0
10606,,,,,,,,,,,,,,,,0
10610,,,,,,,,,,,,,,,,0
10611,,,,,,,,,,,,,,,,147
10627,,,,,,,,,,,,,,,,48
10629,,,,,0,235,235,,,,,,,20.0,,397
10630,0,12,1.25,1.25,0,105,105,,,,,1.0,1.0,24.0,,173
10631,0,19,0.75,0.75,,,,,,,,,,,,383
10632,6,8,0.766841627157266,0.766841627157266,0,0,0,,,,,,,,,244
10633,15,0,,,,,,,,,,,,,,320
10634,6,8,,,0,176,176,,,,,12.0,12.0,45.0,,0
10635,0,9,1.25,1.25,0,668,668,,,,,6.0303030305,6.0,22.0,,0
10636,9,9,,,0,0,0,,,,,,,,,243
10637,0,42,,,,,,,,,,,,,,212
10638,8,5,2.13756030885383,0.887560308853834,0,21,21,,,,,,,,,14
10639,2,27,1.18621630999947,0.0,0,34,59,,,,,,,,,0
10640,27,0,,,0,350,350,,,,,,,,,0
10641,26,8,0.75,0.75,0,0,0,,,,,,,,,0
10642,5,0,,,260,12,422,2.5,,,,,,20.0,,0
10643,2,0,,,21,0,21,2.5,,,,,,,,0
10644,,,,,280,317,597,2.5,,,,8.0,8.0,,,0
10645,10,0,,,20,0,20,2.5,,,,,,,,0
10646,10,0,,,0,413,413,,,,,5.0,5.0,11.0,,0
10647,,,,,113,128,241,2.5,,,,8.0,8.0,,,0
10648,28,0,,,14,393,407,1.75,,,,10.5,10.5,38.75,,0
10649,14,0,,,29,800,829,1.75,,,,10.5,10.5,38.75,,0
10650,20,0,,,0,41,55,,,,,15.0,15.0,15.0,,0
10651,36,46,,,0,1010,1588,,,,,8.0,8.0,8.375,,0
10652,0,2,,,0,14,14,,,,,,,,,169
10653,7,0,,,0,0,179,,,,,,,,,405
10654,,,,,0,0,106,,,,,,,,,239
10656,,,,,,,,,,,,,,,,0
10659,,,,,,,,,,,,,,,,14
10665,18,0,,,,,,,,,,,,,,20
10666,123,0,,,0,0,0,,,,,,,,,180
10667,17,0,,,0,0,0,,,,,,,,,36
10668,57,0,,,0,0,0,,,,,,,,,78
10669,55,0,,,0,5,12,,,,,,,,,164
10670,58,0,,,0,0,0,,,,,,,,,33
10671,,,,,0,0,24,,,,,,,,,17
10672,6,0,,,0,0,0,,,,,,,,,25
10673,4,0,0.0,0.0,0,0,0,,,,,,,,,129
10674,67,4,1.25,0.0,0,505,560,,,,,1.13572122127521,1.13572122127521,6.94535548602869,,16
10675,79,1,1.25,0.0,0,0,0,,,,,,,,,420
10676,36,0,0.0,0.0,,,,,,,,,,,,187
10677,0,2,1.25,0.0,,,,,,,,,,,,179
10691,1,0,,,,,,,,,,,,,,207
10702,22,0,,,,,,,,,,,,,,146
10703,,,,,,,,,,,,,,,,46
10716,,,,,,,,,,,,,,,,250
10717,,,,,,,,,,,,,,,,198
10726,9,0,,,0,0,0,,,,,,,,,0
10729,12,0,,,,,,,,,,,,,,0
10731,20,0,,,,,,,,,,,,,,0
10734,,,,,,,,,,,,,,,,14
10835,,,,,0,0,0,,,,,,,,,0
10848,142,0,,,0,0,0,,,,,,,,,0
10857,31,0,,,,,,,,,,,,,,70
10871,,,,,,,,,,,,,,,,52
10872,,,,,0,0,0,,,,,,,,,146
10908,,,,,,,,,,,,,,,,340
10909,,,,,,,,,,,,,,,,645
10910,,,,,,,,,,,,,,,,492
10920,,,,,,,,,,,,,,,,57
10921,,,,,,,,,,,,,,,,154
10937,,,,,272,19,291,2.75,1.5,5.975,100.5,,,,,0
11050,,,,,108,194,302,3.0,1.5,6.0,,2.0,2.0,20.0,,0
11133,,,,,,,,,,,,,,,,0
11134,13,0,0.0,0.0,,,,,,,,,,,,0
11135,,,,,,,,,,,,,,,,102
11136,,,,,,,,,,,,,,,,201
11137,,,,,,,,,,,,,,,,63
11142,,,,,,,,,,,,,,,,64
11144,,,,,,,,,,,,,,,,79
11146,28,0,,,,,,,,,,,,,,78
11147,16,0,,,,,,,,,,,,,,196
11148,36,0,,,,,,,,,,,,,,122
11149,36,0,,,,,,,,,,,,,,86
11150,41,0,,,0,24,32,,,,,,,,,115
11151,60,0,,,0,0,0,,,,,,,,,79
11152,39,12,1.25,0.0,0,105,205,,,,,,,,,104
11153,9,0,,,0,0,0,,,,,,,,,68
11154,8,0,,,0,133,133,,,,,3.0,,18.0,,0
11155,42,0,,,56,46,114,,,,,,,,,23
11156,,,,,0,0,0,,,,,,,,,0
11157,,,,,0,0,0,,,,,,,,,4
11162,,,,,,,,,,,,,,,,133
11167,32,0,,,0,0,11,,,,,,,,,37
11168,,,,,,,,,,,,,,,,139
11170,2,0,,,,,,,,,,,,,,0
11172,,,,,,,,,,,,,,,,84
11177,,,,,,,,,,,,,,,,5
11180,,,,,,,,,,,,,,,,33
11181,,,,,,,,,,,,,,,,277
11183,,,,,,,,,,,,,,,,30
11184,,,,,,,,,,,,,,,,35
11185,,,,,0,0,0,,,,,,,,,0
11186,0,2,,,0,2,2,,,,,,,,,65
11188,,,,,100,0,200,5.0,5.0,5.0,,,,,,0
11189,6,11,1.5,1.5,,,,,,,,,,,,48
11190,,,,,108,0,108,5.0,5.0,5.0,,,,,,0
11191,,,,,0,50,50,,,,,,,,,0
11192,31,0,,,0,0,116,,,,,,,,,0
11193,0,31,,,0,0,0,,,,,,,,,48
11194,3,26,1.5,1.5,66,0,150,2.0,,,,,,,,72
11195,26,55,1.32847538428154,1.32847538428154,40,0,40,,,2.0,,,,,,90
11196,10,59,1.5,1.5,33,0,33,3.0,3.0,,,,,,,136
11197,,,,,,,,,,,,,,,,0
11201,22,0,,,,,,,,,,,,,,56
11210,2,0,,,0,0,0,,,,,,,,,34
11211,88,0,,,0,94,115,,,,,5.0,5.0,7.0,,85
11212,15,0,,,0,96,128,,,,,3.0,3.0,16.0,,0
11242,4,0,,,,,,,,,,,,,,0
11243,66,0,,,0,1800,1888,,,,,,,20.0,,0
11244,238,10,0.916666666666666,0.0,500,78,628,,,,,3.0,3.0,15.95,,0
11245,18,0,,,,,,,,,,,,,,0
11246,16,0,,,0,0,224,,,,,,,,,0
11247,76,0,,,0,2,2,,,,,6.0,6.0,36.0,,0
11248,,,,,0,2,102,,,,,6.0,6.0,36.0,,0
11249,6,0,,,0,1,1,,,,,6.0,6.0,36.0,,0
11250,130,0,,,0,1204,1204,,,,,6.0,6.0,32.0,,0
11251,60,0,,,0,2900,2900,,,,,6.0,6.0,32.0,,0
11252,10,0,,,0,0,0,,,,,,,,,0
11282,6,0,,,0,0,0,,,,,,,,,135
11284,52,0,1.25,0.0,0,12,12,,,,,,,,,0
11285,290,9,1.25,0.0,0,40,58,,,,,,,,,0
11286,,,,,,,,,,,,,,,,0
11287,14,0,,,,,,,,,,,,,,139
11293,18,0,,,0,0,0,,,,,,,,,0
11321,10,0,,,,,,,,,,,,,,14
11322,,,,,,,,,,,,,,,,188
11358,,,,,,,,,,,,,,,,0
11361,,,,,0,0,0,,,,,,,,,0
11430,135,0,,,0,1038,1038,,,,,,,25.0,,
11431,144,0,,,0,2881,2881,,,,,,,25.0,,
11504,,,,,,,,,,,,,,,,195
11533,108,0,,,0,0,0,,,,,,,,,87
11534,,,,,,,,,,,,,,,,64
11584,,,,,,,,,,,,,,,,106
11586,,,,,,,,,,,,,,,,0
11587,,,,,,,,,,,,,,,,0
11695,,,,,,,,,,,,,,,,0
11813,,,,,,,,,,,,,,,,212
12046,,,,,,,,,,,,,,,,0
12048,,,,,,,,,,,,,,,,89
12050,,,,,,,,,,,,,,,,158
12060,172,0,,,,,,,,,,,,,,120
12061,,,,,0,0,0,,,,,,,,,0
12062,163,0,,,0,0,0,,,,,,,,,130
12063,290,0,,,,,,,,,,,,,,220
12064,283,0,,,,,,,,,,,,,,
12065,92,0,,,0,0,39,,,,,,,,,320
12066,76,0,,,26,43,69,,,,,,,,,152
12067,62,0,,,0,0,0,,,,,,,,,310
12070,128,0,,,316,561,1186,3.0,3.0,,,3.0,3.0,15.0,,0
12093,,,,,,,,,,,,,,,,0
12094,41,13,0.75,0.0,0,330,330,,,,,,,,,188
12095,,,,,,,,,,,,,,,,118
12192,,,,,,,,,,,,,,,,118
12677,28,0,,,50,0,75,,,,,,,,,180
12683,0,8,0.75,0.0,0,0,0,,,,,,,,,0
12684,0,20,0.75,0.0,0,15,37,,,,,,,,,5
12685,,,,,0,0,0,,,,,,,,,0
12686,2,0,,,,,,,,,,,,,,0
12687,6,0,,,,,,,,,,,,,,0
12688,,,,,,,,,,,,,,,,0
12689,,,,,413,15,428,3.0,3.0,7.0,,3.0,3.0,,,0
12690,,,,,185,7,192,3.0,3.0,7.0,,3.0,3.0,,,0
12691,16,0,,,281,11,292,3.0,3.0,7.0,,3.0,3.0,,,0
12692,,,,,0,0,0,,,,,,,,,0
12702,,,,,,,,,,,,,,,,0
12703,,,,,,,,,,,,,,,,0
12704,,,,,,,,,,,,,,,,0
12706,,,,,37,67,104,3.0,1.5,6.0,,2.0,2.0,20.0,,0
12707,,,,,33,59,92,3.0,1.5,6.0,,2.0,2.0,20.0,,0
12708,14,0,,,0,0,0,,,,,,,,,0
12709,0,0,,,,,,,,,,,,,,0
12710,,,,,142,0,142,3.0,1.5,5.5,90.0,,,,,0
12711,20,0,,,338,0,338,3.0,1.5,5.5,90.0,,,,,0
12712,,,,,204,52,256,3.0,1.5,4.89732142857142,68.3035714285714,2.0,2.0,20.0,,0
12713,,,,,52,0,52,3.0,1.5,5.89999999999999,93.0,,,,,0
12782,22,0,,,,,,,,,,,,,,0
12984,8,7,,,0,0,0,,,,,,,,,0
12985,,,,,0,648,654,,,,,9.75,10.75,35.25,150.0,0
13141,,,,,0,0,0,,,,,,,,,0
13144,226,0,,,499,1958,2457,,,,,1.0,1.0,5.0,,0
13145,,,,,,,,,,,,,,,,94
13363,59,0,,,0,0,0,,,,,,,,,298
13365,,,,,,,,,,,,,,,,268
13381,,,,,,,,,,,,,,,,0
13382,,,,,,,,,,,,,,,,657
13384,,,,,,,,,,,,,,,,0
13624,,,,,0,0,0,,,,,,,,,0
13626,,,,,0,0,0,,,,,,,,,0
13627,,,,,230,0,230,,,,,,,,,0
13628,,,,,,,,,,,,,,,,0
13981,,,,,,,,,,,,,,,,207
13994,1,0,,,,,,,,,,,,,,0
13995,,,,,,,,,,,,,,,,112
13998,,,,,,,,,,,,,,,,0
13999,,,,,,,,,,,,,,,,0
14000,,,,,,,,,,,,,,,,591
14002,30,0,,,0,1376,1376,,,,,,,12.1601075877689,,0
14003,6,0,,,0,0,0,,,,,,,,,0
14004,,,,,,,,,,,,,,,,171
14005,41,0,,,0,1399,1399,,,,,,,16.0,,0
14007,20,0,,,0,819,819,,,,,,,,,0
14008,22,0,,,420,951,1773,,,,,,,12.0,,0
14011,6,0,,,,,,,,,,,,,,640
14013,13,0,,,,,,,,,,,,,,0
14253,,,,,,,,,,,,,,,,159
14340,19,0,,,,,,,,,,,,,,0
14343,,,,,0,0,0,,,,,,,,,282
14361,73,0,,,0,24,44,,,,,,,,,116
14362,9,0,,,0,0,0,,,,,,,,,2
14366,,,,,,,,,,,,,,,,104
14367,,,,,,,,,,,,,,,,36
14403,44,0,,,,,,,,,,,,,,190
16182,,,,,,,,,,,,,,,,0
19362,23,0,,,0,0,0,,,,,,,,,0
19369,,,,,0,0,0,,,,,,,,,212
19370,180,0,,,0,100,100,,,,,,,,,0
19371,,,,,0,0,0,,,,,,,,,152
19455,43,0,,,,,,,,,,,,,,0
19468,16,0,,,,,,,,,,,,,,218
19613,9,0,,,0,0,0,,,,,,,,,5
19898,,,,,,,,,,,,,,,,0
19956,11,0,,,,,,,,,,,,,,17
19957,17,0,,,0,0,73,,,,,,,,,106
19958,78,0,,,0,101,204,,,,,,,,,40
19959,38,0,,,,,,,,,,,,,,57
19960,10,0,,,0,0,1022,,,,,,,,,0
19961,23,0,,,0,89,122,,,,,,,,,0
19962,16,0,,,,,,,,,,,,,,0
19963,11,0,,,,,,,,,,,,,,0
19964,17,0,,,0,0,673,,,,,,,,,0
20184,25,0,,,,,,,,,,,,,,6
20185,,,,,,,,,,,,,,,,0
20186,,,,,,,,,,,,,,,,0
20253,,,,,,,,,,,,,,,,0
20260,123,0,,,0,0,0,,,,,,,,,468
20261,199,0,,,2620,0,2654,3.95959716583074,3.95959716583074,9.54040283416925,75.0,,,,,0
20267,117,0,,,,,,,,,,,,,,
20328,48,0,,,0,38,98,,,,,,,,,0
20424,61,0,,,0,32,47,,,,,,,,,20
20425,,,,,0,0,0,,,,,,,,,3
20469,122,0,,,,,,,,,,,,,,
20470,,,,,,,,,,,,,,,,809
20472,,,,,0,0,0,,,,,,,,,28
20486,54,0,,,,,,,,,,,,,,0
20492,38,0,,,,,,,,,,,,,,0
20495,78,0,,,,,,,,,,,,,,48
20718,,,,,,,,,,,,,,,,0
20720,1,0,,,,,,,,,,,,,,14
20854,9,0,,,,,,,,,,,,,,0
20855,,,,,,,,,,,,,,,,6
23018,,,,,,,,,,,,,,,,0
23019,,,,,0,6,6,,,,,,,,,0
23020,64,0,,,720,679,1399,,,,,5.0,5.0,5.0,,0
23021,,,,,,,,,,,,,,,,0
23052,,,,,,,,,,,,,,,,0
23055,,,,,,,,,,,,,,,,0
23059,,,,,333,301,906,,,,,,,,,0
23060,83,0,,,0,223,223,,,,,,,,,0
23061,,,,,,,,,,,,,,,,0
23063,,,,,,,,,,,,,,,,0
23064,,,,,,,,,,,,,,,,2
23622,19,0,,,0,0,150,,,,,,,,,0
23623,42,0,,,67,8,170,,,,,,,,,20
23624,28,0,,,0,2,98,,,,,,,,,0
23625,30,0,,,83,26,173,,,,,,,,,0
23626,28,0,,,0,26,124,,,,,,,,,0
23627,30,0,,,0,3,102,,,,,,,,,0
23628,39,0,,,0,14,125,,,,,,,,,0
23629,32,0,,,0,73,95,,,,,,,,,0
23630,42,0,,,0,109,138,,,,,,,,,0
23631,24,0,,,0,14,80,,,,,,,,,0
23632,26,0,,,0,0,45,,,,,,,,,0
23740,,,,,,,,,,,,,,,,200
23821,67,0,,,0,0,0,,,,,,,,,62
23822,178,0,,,0,194,208,,,,,6.71144278606965,6.71144278606965,15.4985074626865,2.23880597014925,71
23833,2,0,,,,,,,,,,,,,,583
23949,,,,,,,,,,,,,,,,0
23950,,,,,,,,,,,,,,,,0
23999,,,,,,,,,,,,,,,,0
24000,,,,,0,0,0,,,,,,,,,0
24047,95,5,,,0,5,5,,,,,,,,,168
24048,21,0,,,0,0,0,,,,,,,,,122
24064,136,0,,,0,904,1924,,,,,,,,,0
24116,,,,,499,34,533,2.75,1.5,5.975,100.5,,,,,0
24242,,,,,0,0,0,,,,,,,,,0
24243,,,,,0,159,1068,,,,,,,,,0
24244,,,,,0,76,76,,,,,,,,,0
24245,24,0,,,0,66,66,,,,,,,,,0
24246,,,,,,,,,,,,,,,,0
24313,0,34,1.5,1.5,74,0,168,2.0,,,,,,,,64
