mgra,free_spaces,paid_spaces,spaces,hourly,daily,monthly
2,22.0,102.0,124.0,1.25,,
12,26.0,51.0,77.0,1.25,,
16,52.0,52.0,104.0,1.25,,
25,10.0,34.0,44.0,1.25,,
28,60.0,110.0,170.0,1.25,,
36,24.0,233.0,257.0,3.625,17.0,200.0
49,394.0,25.0,419.0,1.25,,
52,15.0,0.0,15.0,,,
55,2.0,43.0,45.0,,40.0,
56,16.0,84.0,100.0,1.25,,
59,90.0,12.0,102.0,,,
67,7.0,81.0,88.0,,,
69,131.0,2.0,133.0,,,
70,103.0,16.0,119.0,,,
74,44.0,0.0,44.0,,,
81,83.0,405.0,488.0,6.0,30.0,200.0
85,87.0,0.0,87.0,,,
86,107.0,42.0,149.0,,,
93,22.0,58.0,80.0,,,
94,51.0,31.0,82.0,1.25,,
97,161.0,0.0,161.0,,,
99,56.0,105.0,161.0,1.10713812765443,,
102,36.0,124.0,160.0,1.25,,
124,96.0,90.0,186.0,0.692307692307692,,
131,3.0,46.0,49.0,1.25,,
132,26.0,120.0,146.0,1.25,,
133,307.0,185.0,492.0,,,
135,460.0,18.0,478.0,1.25,,
142,98.0,0.0,98.0,,,
145,191.0,63.0,254.0,1.24999999999999,,
147,128.0,0.0,128.0,,,
159,32.0,125.0,157.0,15.0,15.0,
162,252.0,644.0,896.0,1.120260663507109,13.7863999040134,4.55696202531645
182,115.0,0.0,115.0,,,
186,141.0,35.0,176.0,,,
190,143.0,0.0,143.0,,,
193,33.0,0.0,33.0,,,
201,80.0,0.0,80.0,,,
204,69.0,87.0,156.0,1.25,,
213,435.0,0.0,435.0,,,
224,46.0,55.0,101.0,0.75,,
232,32.0,134.0,166.0,2.339196762141965,11.5342465753424,47.1232876712328
237,60.0,0.0,60.0,,,
238,25.0,384.0,409.0,,,
240,80.0,73.0,153.0,1.875,,
263,157.0,194.0,351.0,1.25,,
275,167.0,0.0,167.0,,,
282,178.0,0.0,178.0,,,
288,267.0,118.0,385.0,1.25,,
290,82.0,4.0,86.0,1.25,,
291,14.0,416.0,430.0,6.125,38.75,
292,8.0,117.0,125.0,0.914140100862394,,
294,76.0,0.0,76.0,,,
295,145.0,0.0,145.0,,,
300,8.0,402.0,410.0,4.625,28.0,190.0
303,211.0,241.0,452.0,0.25,,
305,35.0,80.0,115.0,,,
338,0.0,185.0,185.0,,,
339,73.0,0.0,73.0,,,
342,144.0,104.0,248.0,,,
350,248.0,693.0,941.0,1.87581699346405,9.7516339869281,84.4117647058823
371,20.0,0.0,20.0,,,
374,19.0,0.0,19.0,,,
377,0.0,116.0,116.0,1.25,,
387,97.0,15.0,112.0,1.25,,
392,40.0,0.0,40.0,,,
401,165.0,199.0,364.0,,,
402,435.0,0.0,435.0,,,
407,0.0,133.0,133.0,15.0,24.7439024390243,147.073170731707
411,90.0,4.0,94.0,,,
418,70.0,0.0,70.0,,,
430,122.0,28.0,150.0,1.25,,
431,42.0,0.0,42.0,,,
436,13.0,37.0,50.0,,,
437,7.0,298.0,305.0,4.551701570680625,18.848167539267,161.75392670157
449,44.0,0.0,44.0,,,
453,40.0,25.0,65.0,,,
457,167.0,0.0,167.0,,,
465,48.0,48.0,96.0,1.25,,
471,46.0,103.0,149.0,,,
475,72.0,23.0,95.0,1.24999999999999,,
490,52.0,53.0,105.0,2.5,,
493,146.0,0.0,146.0,,,
494,21.0,0.0,21.0,,,
506,200.0,24.0,224.0,1.25,,
519,14.0,105.0,119.0,11.875,34.5,
520,16.0,110.0,126.0,1.25,,
522,6.0,0.0,6.0,,,
527,24.0,0.0,24.0,,,
528,124.0,0.0,124.0,,,
535,361.0,0.0,361.0,,,
542,270.0,0.0,270.0,,,
543,11.0,343.0,354.0,6.875,22.5,240.0
551,367.0,19.0,386.0,1.25,,
559,100.0,37.0,137.0,1.25,,
560,10.0,3.0,13.0,1.0,,
564,177.0,43.0,220.0,,,
574,122.0,112.0,234.0,2.125,5.0,
575,287.0,40.0,327.0,1.25,,
589,115.0,0.0,115.0,,,
603,120.0,277.0,397.0,5.69940476190475,15.0824175824175,125.274725274725
604,58.0,162.0,220.0,10.125,19.0,185.0
615,22.0,1176.0,1198.0,4.50589713843774,19.6519721577726,108.15158546017
618,264.0,0.0,264.0,,,
619,6.0,0.0,6.0,,,
635,269.0,54.0,323.0,,,
637,43.0,30.0,73.0,,,
638,70.0,0.0,70.0,,,
648,240.0,2.0,242.0,,,
650,14.0,1251.0,1265.0,1.0,10.0,70.0
651,288.0,3.0,291.0,1.25,,
666,3.0,44.0,47.0,1.25,,
671,6.0,0.0,6.0,,,
682,10.0,0.0,10.0,,,
695,138.0,0.0,138.0,,,
702,103.0,0.0,103.0,,,
707,91.0,86.0,177.0,10.0,60.0,
708,422.0,0.0,422.0,,,
712,98.0,56.0,154.0,,,
715,215.0,10.0,225.0,,,
720,122.0,60.0,182.0,1.25,,
733,43.0,215.0,258.0,5.625,10.0,
736,10.0,100.0,110.0,,,
738,71.0,0.0,71.0,,,
741,6.0,117.0,123.0,,,
744,53.0,0.0,53.0,,,
747,674.0,64.0,738.0,3.5,8.0,180.0
750,127.0,11.0,138.0,,,
751,38.0,272.0,310.0,1.25,,
760,51.0,71.0,122.0,1.25,,
761,101.0,15.0,116.0,,,
763,58.0,0.0,58.0,,,
764,53.0,0.0,53.0,,,
775,70.0,0.0,70.0,,,
786,85.0,50.0,135.0,,,
792,286.0,130.0,416.0,5.0,10.9285714285714,110.238095238095
795,200.0,31.0,231.0,1.25,,
796,173.0,24.0,197.0,,,
800,38.0,0.0,38.0,,,
802,52.0,281.0,333.0,0.25,,
805,326.0,0.0,326.0,,,
806,354.0,70.0,424.0,1.25,,
809,204.0,543.0,747.0,1.0,11.5,100.0
812,114.0,10.0,124.0,,,
813,8.0,63.0,71.0,1.0,,
822,52.0,3.0,55.0,,,
825,44.0,0.0,44.0,,,
839,38.0,0.0,38.0,,,
841,64.0,0.0,64.0,,,
860,69.0,0.0,69.0,,,
861,12.0,0.0,12.0,,,
866,18.0,60.0,78.0,0.817659629344006,,
872,49.0,151.0,200.0,2.861817846607665,11.75,
891,80.0,62.0,142.0,1.25,,
898,86.0,13.0,99.0,1.25,,
899,219.0,9.0,228.0,1.25,,
901,154.0,68.0,222.0,,,
904,27.0,0.0,27.0,,,
905,259.0,0.0,259.0,,,
913,430.0,0.0,430.0,,,
915,65.0,33.0,98.0,,,
929,2566.0,0.0,2566.0,,,
931,44.0,0.0,44.0,,,
932,20.0,108.0,128.0,30.0,30.0,
933,34.0,15.0,49.0,1.25,,
937,276.0,0.0,276.0,,,
938,176.0,195.0,371.0,,,
940,69.0,65.0,134.0,1.25,,
944,177.0,121.0,298.0,,,
961,72.0,10.0,82.0,1.25,,
962,130.0,0.0,130.0,,,
981,132.0,64.0,196.0,1.25,,
982,36.0,84.0,120.0,9.0,12.0,
984,5.0,91.0,96.0,7.375,18.5,200.0
991,14.0,0.0,14.0,,,
1003,20.0,45.0,65.0,15.0,15.0,
1006,63.0,0.0,63.0,,,
1013,336.0,15.0,351.0,1.0,,
1015,210.0,113.0,323.0,5.02259036144578,10.0,
1016,116.0,39.0,155.0,1.25,,
1017,340.0,368.0,708.0,1.25,,
1038,349.0,42.0,391.0,1.25,,
1041,0.0,464.0,464.0,1.625,16.0,
1044,136.0,300.0,436.0,4.67325227963525,12.2310030395136,
1045,48.0,0.0,48.0,,,
1050,371.0,158.0,529.0,7.149999999999985,18.3892857142857,137.142857142857
1051,80.0,0.0,80.0,,,
1054,14.0,10.0,24.0,1.25,,
1056,117.0,140.0,257.0,1.0,,
1057,276.0,0.0,276.0,,,
1062,58.0,86.0,144.0,1.25,,
1068,5.0,37.0,42.0,,,
1074,2.0,0.0,2.0,,,
1081,34.0,34.0,68.0,,,
1082,107.0,5.0,112.0,,,
1084,203.0,0.0,203.0,,,
1094,9.0,163.0,172.0,7.625,16.5,210.0
1096,118.0,63.0,181.0,1.25,,
1111,182.0,21.0,203.0,1.25,,
1114,2.0,118.0,120.0,,,
1145,144.0,89.0,233.0,2.09186046511627,13.4790697674418,61.4046511627907
1147,188.0,20.0,208.0,,,
1153,157.0,0.0,157.0,,,
1155,54.0,99.0,153.0,0.5,,
1156,160.0,0.0,160.0,,,
1163,69.0,30.0,99.0,,,
1164,308.0,29.0,337.0,,,
1177,25.0,0.0,25.0,,,
1178,508.0,538.0,1046.0,1.25,,
1181,65.0,0.0,65.0,,,
1183,148.0,0.0,148.0,,,
1185,10.0,529.0,539.0,3.625,28.0,
1196,14.0,52.0,66.0,1.25,,
1201,81.0,0.0,81.0,,,
1202,8.0,92.0,100.0,1.25,,
1213,8.0,80.0,88.0,4.625,8.5,
1215,166.0,104.0,270.0,1.25,,
1233,143.0,0.0,143.0,,,
1237,40.0,50.0,90.0,1.25,,
1238,105.0,0.0,105.0,,,
1247,140.0,51.0,191.0,2.125,18.6,
1253,101.0,130.0,231.0,5.625,10.0,182.5
1258,93.0,194.0,287.0,2.8076923076923,6.53846153846153,
1269,38.0,197.0,235.0,10.625,30.0,150.0
1272,0.0,125.0,125.0,1.1402902305879,,
1286,434.0,0.0,434.0,,,
1291,87.0,0.0,87.0,,,
1293,95.0,276.0,371.0,1.25,,
1304,0.0,176.0,176.0,0.758627953376148,,
1305,5.0,291.0,296.0,3.625,14.0,
1306,30.0,427.0,457.0,2.5,11.99,
1307,276.0,6.0,282.0,,,
1315,117.0,0.0,117.0,,,
1321,133.0,1.0,134.0,1.25,,
1323,174.0,0.0,174.0,,,
1327,145.0,12.0,157.0,1.25,,
1328,24.0,24.0,48.0,,,
1332,0.0,85.0,85.0,1.25,,
1335,16.0,52.0,68.0,,,
1342,135.0,99.0,234.0,0.817179903080043,,
1344,334.0,0.0,334.0,,,
1349,34.0,44.0,78.0,,,
1357,90.0,0.0,90.0,,,
1359,54.0,0.0,54.0,,,
1364,122.0,495.0,617.0,1.07956433513439,,
1365,48.0,0.0,48.0,,,
1367,169.0,111.0,280.0,5.0,12.0,150.0
1369,488.0,156.0,644.0,1.0,14.0,
1370,85.0,212.0,297.0,,,
1373,85.0,0.0,85.0,,,
1390,60.0,0.0,60.0,,,
1391,383.0,0.0,383.0,,,
1412,75.0,0.0,75.0,,,
1415,50.0,65.0,115.0,1.25,,
1419,155.0,1.0,156.0,,,
1426,385.0,81.0,466.0,1.25,,
1430,70.0,0.0,70.0,,,
1433,103.0,32.0,135.0,,,
1434,146.0,6.0,152.0,,,
1437,56.0,57.0,113.0,1.25,,
1444,5.0,68.0,73.0,1.25,,
1449,123.0,0.0,123.0,,,
1453,33.0,0.0,33.0,,,
1455,71.0,66.0,137.0,1.25,,
1460,40.0,100.0,140.0,,,
1467,11.0,37.0,48.0,1.25,,
1477,6.0,263.0,269.0,1.25,,
1480,16.0,91.0,107.0,,32.0,
1485,700.0,89.0,789.0,1.03692469036456,,
1487,135.0,0.0,135.0,,,
1492,1254.0,550.0,1804.0,1.25,,
1503,183.0,0.0,183.0,,,
1504,420.0,96.0,516.0,,,
1508,35.0,140.0,175.0,20.0,22.8160919540229,
1509,184.0,40.0,224.0,1.0,,
1510,418.0,49.0,467.0,1.09375,,
1520,118.0,0.0,118.0,,,
1540,6.0,137.0,143.0,1.25,,
1542,14.0,53.0,67.0,10.0,8.0,
1543,331.0,348.0,679.0,,,
1552,218.0,13.0,231.0,1.25,,
1559,14.0,142.0,156.0,8.46774193548385,23.4677419354838,
1570,5.0,89.0,94.0,1.25,,
1577,127.0,23.0,150.0,,,
1579,137.0,81.0,218.0,,,
1606,395.0,86.0,481.0,3.125,32.5,195.0
1607,60.0,59.0,119.0,1.25,,
1612,77.0,0.0,77.0,,,
1617,290.0,0.0,290.0,,,
1618,217.0,0.0,217.0,,,
1625,14.0,1.0,15.0,,,
1627,246.0,164.0,410.0,1.25,,
1632,0.0,246.0,246.0,5.625,17.5,
1634,103.0,0.0,103.0,,,
1662,102.0,13.0,115.0,,,
1663,60.0,0.0,60.0,,,
1666,66.0,3.0,69.0,1.25,,
1669,76.0,0.0,76.0,,,
1681,56.0,0.0,56.0,,,
1683,102.0,0.0,102.0,,,
1704,204.0,32.0,236.0,1.25,,
1707,17.0,120.0,137.0,,,
1709,152.0,0.0,152.0,,,
1710,116.0,6.0,122.0,1.25,,
1711,81.0,7.0,88.0,0.5,,
1716,6.0,0.0,6.0,,,
1717,109.0,32.0,141.0,,,
1726,110.0,0.0,110.0,,,
1729,8.0,240.0,248.0,4.0,24.0,170.0
1739,145.0,0.0,145.0,,,
1753,234.0,197.0,431.0,1.25,,
1761,69.0,121.0,190.0,,,
1770,42.0,342.0,384.0,2.397038246268655,23.125,
1774,54.0,62.0,116.0,,,
1776,64.0,0.0,64.0,,,
1783,60.0,0.0,60.0,,,
1784,259.0,0.0,259.0,,,
1788,75.0,0.0,75.0,,,
1793,104.0,54.0,158.0,1.25,,
1802,33.0,263.0,296.0,,,
1812,303.0,46.0,349.0,1.25,,
1814,9.0,97.0,106.0,,,
1818,280.0,0.0,280.0,,,
1826,146.0,0.0,146.0,,,
1842,139.0,198.0,337.0,1.719382591093115,4.67611336032388,
1848,151.0,11.0,162.0,1.25,,
1861,86.0,72.0,158.0,20.0,30.0,
1862,168.0,128.0,296.0,12.0,22.0,
1865,0.0,1.0,1.0,,,
1874,450.0,36.0,486.0,1.25,,
1881,300.0,0.0,300.0,,,
1884,143.0,42.0,185.0,,,
1885,150.0,14.0,164.0,,,
1886,152.0,0.0,152.0,,,
1889,139.0,128.0,267.0,5.0,5.0,
1900,55.0,50.0,105.0,1.25,,
1901,977.0,983.0,1960.0,1.25,,
1916,154.0,0.0,154.0,,,
1920,9.0,346.0,355.0,3.625,24.0,191.5
1931,244.0,55.0,299.0,1.25,,
1939,355.0,942.0,1297.0,19.5,9.0,
1951,276.0,0.0,276.0,,,
1953,46.0,44.0,90.0,1.25,,
1963,284.0,37.0,321.0,1.25,,
1965,549.0,13.0,562.0,1.25,,
1967,60.0,42.0,102.0,,,
1974,416.0,38.0,454.0,,,
1975,135.0,54.0,189.0,1.25,,
1976,525.0,439.0,964.0,,,
1978,12.0,128.0,140.0,,,
1982,192.0,42.0,234.0,,,
1985,211.0,38.0,249.0,,,
1991,0.0,130.0,130.0,1.25,,
1992,6.0,156.0,162.0,1.25,,
1997,247.0,22.0,269.0,1.25,,
1998,317.0,60.0,377.0,,,
2000,23.0,0.0,23.0,,,
2006,14.0,239.0,253.0,3.625,28.0,
2008,4.0,47.0,51.0,,,
2011,0.0,20.0,20.0,,,
2025,2.0,3.0,5.0,,,
2030,231.0,70.0,301.0,1.25,,
2037,47.0,169.0,216.0,1.25,,
2039,179.0,0.0,179.0,,,
2042,155.0,102.0,257.0,,,
2052,154.0,0.0,154.0,,,
2059,15.0,187.0,202.0,1.25,,
2064,48.0,73.0,121.0,20.0,30.0,
2066,0.0,1325.0,1325.0,6.3888248847926,28.8594470046082,12.442396313364
2078,97.0,0.0,97.0,1.25,,
2079,224.0,0.0,224.0,,,
2080,35.0,0.0,35.0,,,
2084,91.0,92.0,183.0,,,
2085,195.0,67.0,262.0,1.25,,
2092,54.0,36.0,90.0,,,
2099,197.0,84.0,281.0,1.25,,
2101,172.0,0.0,172.0,,,
2104,52.0,473.0,525.0,2.875,25.0,
2111,48.0,0.0,48.0,,,
2116,24.0,12.0,36.0,,,
2117,12.0,180.0,192.0,6.125,16.0,190.0
2119,131.0,139.0,270.0,1.25,,
2120,153.0,0.0,153.0,,,
2133,249.0,43.0,292.0,1.24999999999999,,
2134,190.0,175.0,365.0,4.6194134078212254,17.2067039106145,
2135,228.0,215.0,443.0,,,
2151,124.0,4.0,128.0,,,
2154,24.0,144.0,168.0,,,
2155,78.0,7.0,85.0,,,
2157,288.0,81.0,369.0,1.25,,
2158,19.0,101.0,120.0,5.0,15.0,
2171,14.0,2.0,16.0,1.25,,
2173,58.0,0.0,58.0,,,
2177,89.0,14.0,103.0,1.25,,
2184,327.0,44.0,371.0,0.5,,
2186,82.0,0.0,82.0,,,
2187,194.0,0.0,194.0,,,
2189,140.0,17.0,157.0,1.25,,
2211,16.0,0.0,16.0,,,
2213,34.0,0.0,34.0,,,
2217,35.0,44.0,79.0,2.5,,
2218,2.0,352.0,354.0,2.125,12.0,200.0
2238,7.0,185.0,192.0,2.125,10.0,
2239,14.0,0.0,14.0,,,
2241,84.0,46.0,130.0,1.25,,
2246,97.0,124.0,221.0,1.25,,
2250,124.0,34.0,158.0,1.25,,
2251,5.0,46.0,51.0,0.5,,
2252,52.0,28.0,80.0,1.25,,
2253,0.0,33.0,33.0,0.932427270419756,,
2259,36.0,2.0,38.0,,,
2260,68.0,0.0,68.0,,,
2266,30.0,0.0,30.0,,,
2275,6.0,246.0,252.0,7.35692771084335,33.4638554216867,
2279,175.0,0.0,175.0,,,
2280,38.0,25.0,63.0,1.25,,
2284,107.0,0.0,107.0,,,
2294,45.0,29.0,74.0,1.25,,
2298,146.0,42.0,188.0,1.25,,
2299,247.0,10.0,257.0,,,
2313,114.0,0.0,114.0,,,
2319,19.0,42.0,61.0,1.25,,
2321,147.0,0.0,147.0,,,
2324,104.0,127.0,231.0,2.440789473684205,34.1052631578947,
2332,208.0,22.0,230.0,,,
2333,229.0,55.0,284.0,1.5,,
2338,203.0,11.0,214.0,,,
2340,175.0,0.0,175.0,,,
2346,98.0,0.0,98.0,,,
2349,214.0,0.0,214.0,,,
2356,84.0,81.0,165.0,2.125,,
2357,36.0,85.0,121.0,10.5,27.5,
2362,50.0,0.0,50.0,,,
2389,3.0,53.0,56.0,0.5,,
2390,132.0,4.0,136.0,1.25,,
2391,253.0,98.0,351.0,1.25,,
2396,130.0,0.0,130.0,,,
2406,58.0,37.0,95.0,,,
2432,95.0,65.0,160.0,,,
2447,3.0,109.0,112.0,,,
2460,145.0,0.0,145.0,,,
2475,208.0,220.0,428.0,1.25,,
2476,66.0,0.0,66.0,,,
